Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,652.25,,
2/7/2025,646.75,774,690
2/6/2025,643,774,674
2/5/2025,644,774,658
2/4/2025,648,773,642
2/3/2025,647.5,773,625
1/31/2025,646.25,775,608
1/30/2025,647.5,776,1361
1/29/2025,648.5,756,2124
1/28/2025,645.75,755,2881
1/27/2025,650,704,3632
1/24/2025,656.75,541,4372
1/23/2025,656.75,542,5107
1/22/2025,659.5,542,5840
1/21/2025,662.25,543,6564
1/20/2025,662.25,543,7283
1/17/2025,665,543,8003
1/16/2025,663,530,8722
1/15/2025,667.5,530,9438
1/14/2025,666.75,525,10150
1/13/2025,665,522,10855
1/10/2025,664.75,12058,11546
1/9/2025,662.25,12219,11455
1/8/2025,656.5,12117,11336
1/7/2025,660.75,12023,11216
1/6/2025,661,11802,11094
1/3/2025,659,11572,10352
1/2/2025,664.75,11530,9625
12/31/2024,655.25,11399,8897
12/30/2024,652,11338,8178
12/27/2024,647.25,11342,7458
12/26/2024,642.75,11324,6737
12/24/2024,644.5,11268,6018
12/23/2024,640.5,11208,5302
12/20/2024,642.75,11096,4589
12/19/2024,644.25,10901,3883
12/18/2024,654,10689,3191
12/17/2024,647.5,10433,2512
12/16/2024,653.5,10317,1851
12/13/2024,656.25,10193,1198
12/12/2024,648.75,665,553
12/11/2024,652.5,665,543
12/10/2024,651.25,616,534
12/9/2024,653,614,527
12/6/2024,642.25,533,520
12/5/2024,644.75,533,519
12/4/2024,652.5,533,518
12/3/2024,657,535,516
12/2/2024,647.5,510,536
11/29/2024,654,510,557
11/28/2024,650.5,514,577
11/27/2024,653.25,514,597
11/26/2024,660,519,616
11/25/2024,653.25,519,635
11/22/2024,667.5,519,653
11/21/2024,664.25,517,672
11/20/2024,661.75,517,691
11/19/2024,661.75,517,709
11/18/2024,661.75,517,727
11/15/2024,654.75,516,744
11/14/2024,657.5,516,761
11/13/2024,657.75,503,778
11/12/2024,660.25,825,795
11/11/2024,656.75,826,791
11/8/2024,665,812,787
11/7/2024,673,812,784
11/6/2024,674.5,802,781
11/5/2024,677.75,802,778
11/4/2024,671,800,775
11/1/2024,665.75,798,771
10/31/2024,663.25,797,767
10/30/2024,661.5,793,773
10/29/2024,648,793,777
10/28/2024,653.5,768,781
10/25/2024,675.25,766,793
10/24/2024,667.25,766,805
10/23/2024,669,766,806
10/22/2024,676,766,801
10/21/2024,664.25,766,793
10/18/2024,658.25,766,784
10/17/2024,664,765,770
10/16/2024,661,760,754
10/15/2024,663,760,738
10/14/2024,686.25,739,722
10/11/2024,694.25,739,707
10/10/2024,687.5,875,693
10/9/2024,682.75,860,668
10/8/2024,683.5,860,645
10/7/2024,701.5,944,621
10/4/2024,691.25,941,592
10/3/2024,685,786,562
10/2/2024,667.75,688,547
10/1/2024,675.75,641,538
9/30/2024,664,640,532
9/27/2024,658.5,556,527
9/26/2024,664,524,527
9/25/2024,671.75,523,527
9/24/2024,671.5,518,527
9/23/2024,664.75,517,516
9/20/2024,667,517,504
9/19/2024,667.25,509,493
9/18/2024,661.25,509,482
9/17/2024,661,509,471
9/16/2024,654,509,459
9/13/2024,656,485,448
9/12/2024,660,558,438
9/11/2024,643.25,558,423
9/10/2024,648.25,555,399
9/9/2024,655.5,555,374
9/6/2024,657.5,555,349
9/5/2024,664.25,523,325
9/4/2024,661.5,523,302
9/3/2024,665,355,280
9/2/2024,677.25,344,269
8/30/2024,680.25,344,254
8/29/2024,688.75,344,239
8/28/2024,684.25,344,225
8/27/2024,692.5,338,210
8/26/2024,701,338,196
8/23/2024,689.5,338,182
8/22/2024,683.25,338,167
8/21/2024,681.75,186,153
8/20/2024,680.5,186,149
8/19/2024,692,186,145
8/16/2024,693.5,186,138
8/15/2024,704.5,186,131
8/14/2024,698.75,186,125
8/13/2024,700,186,118
8/12/2024,701.25,125,112
8/9/2024,695,125,109
8/8/2024,691.75,125,107
8/7/2024,690.25,125,104
8/6/2024,681.25,125,102
8/5/2024,681.75,123,99
8/2/2024,684,123,97
8/1/2024,704.25,123,94
7/31/2024,705,123,257
7/30/2024,693.5,123,415
7/29/2024,697.75,87,573
7/26/2024,698.25,87,734
7/25/2024,707.5,87,895
7/24/2024,709.25,87,1049
7/23/2024,702,87,1203
7/22/2024,707.25,87,1344
7/19/2024,713.5,87,1483
7/18/2024,718.75,87,1620
7/17/2024,716.75,87,1753
7/16/2024,715.25,87,1885
7/15/2024,720.75,87,2017
