Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,720.5,,
2/7/2025,706,34578,103523
2/6/2025,698,48755,111033
2/5/2025,700,64324,117640
2/4/2025,712.5,80344,123221
2/3/2025,716.75,90620,127857
1/31/2025,711.25,100324,132264
1/30/2025,709.5,104998,125631
1/29/2025,707.25,107551,118782
1/28/2025,701,113461,113418
1/27/2025,704.25,121823,108641
1/24/2025,721.75,124492,104860
1/23/2025,716.25,124998,102168
1/22/2025,727,137911,100697
1/21/2025,737,148773,99128
1/20/2025,746.75,149889,97110
1/17/2025,753.5,147231,95570
1/16/2025,754.5,147867,94511
1/15/2025,759.5,148028,93540
1/14/2025,741.5,149882,92917
1/13/2025,751.5,156725,92736
1/10/2025,709,836,92261
1/9/2025,709,2266,102376
1/8/2025,693.75,27082,112681
1/7/2025,702.5,41812,121707
1/6/2025,705.25,65108,130095
1/3/2025,703,84118,125770
1/2/2025,710.25,102934,120232
12/31/2024,695.25,114364,114484
12/30/2024,692.25,118508,109284
12/27/2024,680.5,126794,104833
12/26/2024,671.25,131342,100833
12/24/2024,674,133302,97671
12/23/2024,669.5,138681,95387
12/20/2024,675.25,147169,94236
12/19/2024,679.25,149594,93159
12/18/2024,690.75,152564,92116
12/17/2024,673.25,156847,91264
12/16/2024,685.75,162469,91251
12/13/2024,689.25,167637,91741
12/12/2024,680,225,92244
12/11/2024,680,1044,104795
12/10/2024,667.75,16721,117708
12/9/2024,662.75,36367,130422
12/6/2024,647.75,51735,142626
12/5/2024,658.5,66803,155091
12/4/2024,666.25,83907,167147
12/3/2024,676.25,99044,179077
12/2/2024,667.25,121407,172531
11/29/2024,677,131027,164619
11/28/2024,669.25,133942,158078
11/27/2024,675,139783,152838
11/26/2024,690,156658,148735
11/25/2024,679,169818,144552
11/22/2024,697.75,175186,140780
11/21/2024,691.75,188487,137839
11/20/2024,682.25,194729,134406
11/19/2024,688.25,207430,131335
11/18/2024,686.5,219431,127483
11/15/2024,671,238720,123339
11/14/2024,674,247632,118443
11/13/2024,666.25,262862,113406
11/12/2024,656.5,854,107605
11/11/2024,656.5,2722,119873
11/8/2024,668.5,32919,132520
11/7/2024,680.25,55335,143782
11/6/2024,690.25,78235,153800
11/5/2024,696.5,93924,161181
11/4/2024,683.5,113231,167756
11/1/2024,672,131080,173838
10/31/2024,669,136984,178856
10/30/2024,658.75,148668,169943
10/29/2024,636.25,149651,160368
10/28/2024,644.5,157274,152190
10/25/2024,676.25,165268,145037
10/24/2024,666.75,172084,139218
10/23/2024,668.75,175839,134258
10/22/2024,674.5,184874,129390
10/21/2024,655.5,192430,124335
10/18/2024,648.5,201856,119092
10/17/2024,660.75,205600,113482
10/16/2024,655.75,188951,108640
10/15/2024,658.25,192557,105143
10/14/2024,692.25,204460,102302
10/11/2024,709.75,206342,99532
10/10/2024,693,3290,97419
10/9/2024,693,5051,109649
10/8/2024,695.75,26981,122208
10/7/2024,726.75,49977,134304
10/4/2024,712.5,77982,145177
10/3/2024,693,97675,154758
10/2/2024,669.5,102817,148403
10/1/2024,678.25,109058,141705
9/30/2024,664.25,113779,135810
9/27/2024,657.5,117703,130518
9/26/2024,658.75,132970,126074
9/25/2024,672.5,136503,121284
9/24/2024,668.75,149937,117285
9/23/2024,660.25,162916,112720
9/20/2024,665.75,174652,108050
9/19/2024,669.25,186734,103099
9/18/2024,658.5,193437,97487
9/17/2024,650,208418,91943
9/16/2024,642.25,213072,86364
9/13/2024,649.5,221703,81497
9/12/2024,627.25,2340,76437
9/11/2024,627.25,2353,86492
9/10/2024,633,20639,97257
9/9/2024,645.75,34397,107604
9/6/2024,650.5,51041,117593
9/5/2024,666.25,61120,127203
9/4/2024,666,76516,136940
9/3/2024,678.5,81459,146117
9/2/2024,693.75,92876,155249
8/30/2024,696.5,100377,149157
8/29/2024,704.25,102561,142876
8/28/2024,692.5,110268,138449
8/27/2024,708,124741,134645
8/26/2024,726.25,140064,130467
8/23/2024,708.25,145798,126516
8/22/2024,698.25,153172,122712
8/21/2024,699.25,163827,118784
8/20/2024,692,175836,114592
8/19/2024,709.5,184233,109939
8/16/2024,718.5,195202,105496
8/15/2024,737.25,207166,100672
8/14/2024,729.5,214177,95268
8/13/2024,733.75,218435,89371
8/12/2024,720.25,1504,83819
8/9/2024,720.25,6151,93045
