Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,672.5,,
2/7/2025,663.75,22383,21078
2/6/2025,660.5,22129,20948
2/5/2025,661.5,22037,20820
2/4/2025,668.75,20635,20693
2/3/2025,668,20722,20634
1/31/2025,666,20914,20577
1/30/2025,666.25,20973,23132
1/29/2025,666,20994,25629
1/28/2025,663.25,20946,28019
1/27/2025,667.75,20718,30344
1/24/2025,677.5,20824,32627
1/23/2025,678.75,20693,34872
1/22/2025,682.5,20725,37131
1/21/2025,686.5,20689,39350
1/20/2025,686.25,20783,41507
1/17/2025,691.75,20436,43651
1/16/2025,690.75,20217,45782
1/15/2025,697.5,20123,47895
1/14/2025,692,19753,50011
1/13/2025,692.25,19865,52138
1/10/2025,687.75,59242,54192
1/9/2025,681,58432,53564
1/8/2025,673,56833,52956
1/7/2025,679.25,55825,52452
1/6/2025,680,54964,51978
1/3/2025,676,54499,49347
1/2/2025,681,54585,46735
12/31/2024,669,54011,44119
12/30/2024,666,53034,41543
12/27/2024,659.25,52953,39057
12/26/2024,653,52392,36548
12/24/2024,654.5,51917,34064
12/23/2024,650,51857,31613
12/20/2024,654,51661,29177
12/19/2024,656.25,50682,26764
12/18/2024,667,49812,24397
12/17/2024,657.25,49319,22093
12/16/2024,665.5,49271,19818
12/13/2024,668.75,48720,17551
12/12/2024,658.25,15498,15316
12/11/2024,662,15317,15299
12/10/2024,657.5,15342,15292
12/9/2024,657.25,15366,15282
12/6/2024,646.75,15742,15268
12/5/2024,651,15317,15232
12/4/2024,659.5,15133,15219
12/3/2024,665.25,15163,15205
12/2/2024,654.25,15314,15424
11/29/2024,662.5,15457,15630
11/28/2024,656.75,15182,15756
11/27/2024,660.5,15249,15903
11/26/2024,669.5,15194,15999
11/25/2024,662.5,15271,16053
11/22/2024,678.5,15199,16067
11/21/2024,674,15246,16059
11/20/2024,669.5,15209,16020
11/19/2024,670.5,15193,15964
11/18/2024,670.5,15150,15902
11/15/2024,662,15202,15806
11/14/2024,663.5,15119,15697
11/13/2024,661.25,14929,15598
11/12/2024,662.5,18440,15517
11/11/2024,658,18417,15195
11/8/2024,669.25,17345,14876
11/7/2024,680,17378,14606
11/6/2024,685.75,16697,14308
11/5/2024,690,15995,14052
11/4/2024,680.5,15479,13828
11/1/2024,672.25,15079,13629
10/31/2024,669,14664,13444
10/30/2024,664.25,14372,14221
10/29/2024,647,14261,15003
10/28/2024,653.5,13709,15770
10/25/2024,680.5,13577,16459
10/24/2024,670.5,13630,17127
10/23/2024,672.25,13719,17772
10/22/2024,678.75,13606,18413
10/21/2024,663,13631,19011
10/18/2024,656.5,13287,19551
10/17/2024,666,12914,20083
10/16/2024,662.25,12854,20551
10/15/2024,664.25,12643,20985
10/14/2024,693.25,12494,21391
10/11/2024,704.75,12294,21792
10/10/2024,695.5,26318,22188
10/9/2024,687.5,26102,21631
10/8/2024,690.5,25770,21087
10/7/2024,713,24044,20544
10/4/2024,698.5,23594,20143
10/3/2024,686.5,23305,19731
10/2/2024,666.75,23332,19040
10/1/2024,675.25,22576,18338
9/30/2024,660.75,21737,17679
9/27/2024,655,21262,17047
9/26/2024,660,19938,16437
9/25/2024,672.5,19369,15902
9/24/2024,671.75,18735,15387
9/23/2024,664.25,18498,14885
9/20/2024,667.25,18243,14392
9/19/2024,668.25,17958,13907
9/18/2024,661,17944,13438
9/17/2024,659.25,17625,12941
9/16/2024,653,18033,12453
9/13/2024,655,17404,11936
9/12/2024,658.75,12942,11468
9/11/2024,636.5,12813,11280
9/10/2024,639.75,12684,11081
9/9/2024,650.75,12260,10892
9/6/2024,655,12111,10713
9/5/2024,666.25,11915,10546
9/4/2024,665,11647,10386
9/3/2024,672,11205,10221
9/2/2024,687,11102,10081
8/30/2024,691,10960,10168
8/29/2024,700.5,10918,10260
8/28/2024,693.25,10489,10350
8/27/2024,703.75,10309,10465
8/26/2024,714.75,10283,10583
8/23/2024,700.75,10385,10684
8/22/2024,692.75,10117,10771
8/21/2024,692.5,9831,10865
8/20/2024,689.5,9855,10970
8/19/2024,704.5,9569,11070
8/16/2024,707.75,9605,11186
8/15/2024,721.5,9519,11288
8/14/2024,714.25,9173,11395
8/13/2024,716.75,9105,11527
8/12/2024,715.75,12405,11651
8/9/2024,708,12332,11534
8/8/2024,705.75,12268,11411
8/7/2024,705.75,12214,11298
8/6/2024,691.75,12077,11187
8/5/2024,692.25,11810,11085
8/2/2024,696.5,11691,10990
8/1/2024,721.5,11525,10901
7/31/2024,721.75,11403,13254
7/30/2024,706.25,11353,15663
7/29/2024,714,11315,18067
7/26/2024,715.5,11133,20460
7/25/2024,726,11122,22860
7/24/2024,726.75,11145,25231
7/23/2024,718.25,10977,27575
7/22/2024,724.5,10643,29990
7/19/2024,733.75,10486,32371
7/18/2024,740.25,10577,34765
7/17/2024,738.75,10555,37157
7/16/2024,737,10536,39566
7/15/2024,744.75,10396,41954
7/12/2024,749.5,10348,44371
7/11/2024,750.75,46819,46775
7/10/2024,751.75,47539,46731
7/9/2024,751.25,47418,46649
7/8/2024,761.75,47210,46569
7/5/2024,773,47133,46433
7/4/2024,771.25,46678,46315
7/3/2024,764.75,46313,46272
7/2/2024,770.25,47195,43788
7/1/2024,762,46360,41236
6/28/2024,753.25,46400,38735
6/27/2024,756,46457,36227
6/26/2024,749.5,46684,33721
6/25/2024,753.25,46360,31201
6/24/2024,751.75,46644,28697
6/21/2024,750.25,46417,26154
6/20/2024,750,46154,23612
6/19/2024,752.5,46318,21086
6/18/2024,746.25,46210,18540
6/17/2024,739.5,45172,15975
6/14/2024,737.25,45357,13461
6/13/2024,739.5,46045,10930
6/12/2024,733.25,9046,8335
6/11/2024,733,8916,8198
6/10/2024,727.75,8839,8055
6/7/2024,715.25,8783,7915
6/6/2024,713.25,8873,7780
6/5/2024,701.75,8880,7642
6/4/2024,706.5,8797,7505
6/3/2024,709.75,8509,7367
5/31/2024,729,8274,7244
5/30/2024,736.25,8273,7135
5/29/2024,741,8124,7024
5/28/2024,745.75,7738,6916
5/27/2024,738,7462,6816
5/24/2024,728.75,7387,6730
5/23/2024,731.5,7119,6632
5/22/2024,735,6995,6531
5/21/2024,744.25,6772,6429
5/20/2024,748,6739,6339
5/17/2024,744.75,6755,6238
5/16/2024,736.5,6802,6132
5/15/2024,735.25,6824,6023
5/14/2024,731,6737,5913
5/13/2024,738.5,6660,5798
5/10/2024,741.5,6632,5681
5/9/2024,746.5,6608,5558
5/8/2024,745.5,6510,5425
5/7/2024,743.75,6238,5294
5/6/2024,743.75,6178,5183
5/3/2024,741,5912,5076
5/2/2024,738.25,5601,4972
5/1/2024,742.5,5461,5888
4/30/2024,758,5429,6796
4/29/2024,761.75,5229,7696
4/26/2024,767.5,5152,8614
4/25/2024,755.5,5178,9495
4/24/2024,761.25,5163,10335
4/23/2024,761.25,5014,11144
4/22/2024,757.25,4904,11862
4/19/2024,759.5,4793,12545
4/18/2024,757.75,4614,13238
4/17/2024,776.5,4550,13928
4/16/2024,784,4567,14594
4/15/2024,781,4579,15270
4/12/2024,794,4340,15875
4/11/2024,788,19349,16472
4/10/2024,785,19077,16040
4/9/2024,787.75,18937,15578
4/8/2024,788.75,18990,15096
4/5/2024,799.25,18372,14606
4/4/2024,787.75,17776,14158
4/3/2024,792.25,17304,13724
4/2/2024,781.75,15780,13239
4/1/2024,770.25,15154,12867
3/28/2024,765.5,15183,12526
3/27/2024,762.5,14962,12176
3/26/2024,763,14534,11833
3/25/2024,766,14718,11509
3/22/2024,759.75,13642,11172
3/21/2024,761.75,13304,10904
3/20/2024,766.25,12861,10659
3/19/2024,776.75,12153,10443
3/18/2024,775.25,11703,10271
3/15/2024,767,11649,10116
3/14/2024,760.75,11651,9961
3/13/2024,752.25,11268,9805
3/12/2024,748,10022,9674
3/11/2024,747,10199,9625
3/8/2024,739.75,10040,9566
3/7/2024,748,9940,9519
3/6/2024,750.75,9806,9475
3/5/2024,741.5,9672,9421
3/4/2024,743,9671,9373
3/1/2024,751.75,9622,9901
2/29/2024,741.5,9629,10463
2/28/2024,737.5,9624,11022
2/27/2024,746.75,9574,11549
2/26/2024,742.75,9379,12067
2/23/2024,736.5,9325,12569
