Date,Last Price,Open Interest,SMAVG (15)
11/1/2024,71.2,207835,46724
10/31/2024,71.08,35920,35179
10/30/2024,70.67,35546,35083
10/29/2024,69.56,35667,35015
10/28/2024,69.7,35598,34951
10/25/2024,73.37,35551,34892
10/24/2024,72.13,35425,34806
10/23/2024,72.46,35485,34683
10/22/2024,73.31,35850,34544
10/21/2024,72.02,35178,34270
10/18/2024,71.08,34696,34309
10/17/2024,72.01,34659,34337
10/16/2024,71.7,34562,34225
10/15/2024,72.04,34433,34083
10/14/2024,74.68,34462,33941
10/11/2024,75.64,34655,33829
10/10/2024,75.63,34478,33715
10/9/2024,73.9,34533,33613
10/8/2024,74.69,34704,33479
10/7/2024,76.85,34709,33352
10/4/2024,74.56,34257,33241
10/3/2024,74.81,33583,33085
10/2/2024,72.17,33404,32997
10/1/2024,72.06,31733,32920
9/30/2024,70.81,35771,32903
9/27/2024,70.55,35119,32600
9/26/2024,70.35,32976,32330
9/25/2024,71.66,32435,32173
9/24/2024,72.75,32303,31988
9/23/2024,71.67,32775,31781
9/20/2024,71.87,32949,31553
9/19/2024,72.05,32944,32491
9/18/2024,71.35,32528,33445
9/17/2024,71.48,32799,34351
9/16/2024,70.81,33041,35273
9/13/2024,69.88,31911,36165
9/12/2024,70.34,32273,37058
9/11/2024,69.18,32237,37938
9/10/2024,68.11,31477,38893
9/9/2024,70.16,31238,39802
9/6/2024,69.92,31066,40720
9/5/2024,71.09,30621,41592
9/4/2024,70.64,29651,42499
9/3/2024,71.26,29199,43457
9/2/2024,73.9,29366,44461
8/30/2024,73.76,47021,45441
8/29/2024,75.08,47245,45247
8/28/2024,74.12,46113,45017
8/27/2024,75.08,46641,44838
8/26/2024,76.23,46416,44590
8/23/2024,74.88,45299,44282
8/22/2024,73.59,45480,43988
8/21/2024,72.9,46569,43645
8/20/2024,73.71,45109,42427
8/19/2024,74.35,45000,41310
8/16/2024,75.51,44149,40202
8/15/2024,76.57,44230,39149
8/14/2024,75.78,44011,38064
8/13/2024,76.3,44270,37013
8/12/2024,77.39,44060,35897
8/9/2024,75.52,44117,34818
8/8/2024,75.14,43792,33723
8/7/2024,74.38,43430,32637
8/6/2024,73.23,42923,31574
8/5/2024,73.42,41797,30540
8/2/2024,73.42,40890,29575
8/1/2024,75.75,40327,28664
7/31/2024,76.99,28303,27794
7/30/2024,75.02,28353,27719
7/29/2024,75.59,28378,27656
7/26/2024,76.32,28347,27570
7/25/2024,77.03,27965,27497
7/24/2024,76.68,28237,27418
7/23/2024,75.95,27535,27302
7/22/2024,77.23,27881,27216
7/19/2024,76.97,27692,27068
7/18/2024,78.84,27493,26888
7/17/2024,78.74,27495,26682
7/16/2024,78.06,27402,26463
7/15/2024,78.96,27321,26238
7/12/2024,79.14,27238,26017
7/11/2024,79.27,27273,25801
7/10/2024,79.23,27179,25598
7/9/2024,79.28,27410,25421
7/8/2024,80.24,27082,25218
7/5/2024,80.58,27252,24993
7/4/2024,81.26,26786,24739
7/3/2024,81.28,26492,24499
7/2/2024,80.49,26248,24279
7/1/2024,80.53,25655,24052
6/28/2024,79.75,25000,23863
6/27/2024,80.04,24398,23712
6/26/2024,79.84,24205,23594
6/25/2024,79.49,24034,23455
6/24/2024,79.94,24002,23293
6/21/2024,79.12,23994,23082
6/20/2024,79.64,24230,27876
6/19/2024,79.23,24523,32486
6/18/2024,79.28,24373,37120
6/17/2024,78.32,23707,41804
6/14/2024,77.83,23443,46436
6/13/2024,78.22,23181,51154
6/12/2024,78.11,23195,55882
6/11/2024,77.72,22845,60622
6/10/2024,77.37,22811,65343
6/7/2024,76.02,22742,70295
6/6/2024,75.85,22623,75252
6/5/2024,74.72,22121,80175
6/4/2024,74.48,21611,85117
6/3/2024,75.61,20834,90112
5/31/2024,77.86,95902,95014
5/30/2024,78.01,93385,94966
5/29/2024,79.05,94030,95066
5/28/2024,79.32,94636,95250
5/27/2024,78.49,93185,95360
5/24/2024,77.56,94214,95395
5/23/2024,77.12,94093,95251
5/22/2024,77.54,94293,95129
5/21/2024,78.58,93661,94804
5/20/2024,79.1,97099,90673
5/17/2024,79,97089,86294
5/16/2024,78.37,96472,81909
5/15/2024,77.87,96248,77525
5/14/2024,77.65,96543,73175
5/13/2024,78.17,94364,68824
5/10/2024,77.69,95180,64622
5/9/2024,78.41,94886,60354
5/8/2024,78.16,96794,56129
5/7/2024,78.27,96277,51718
5/6/2024,78.38,93712,47344
5/3/2024,77.93,92048,43058
5/2/2024,78.04,92265,38775
5/1/2024,77.62,89426,34423
4/30/2024,80.31,31693,30226
4/29/2024,80.85,31417,29877
4/26/2024,81.46,31306,29543
4/25/2024,81.06,30710,29210
4/24/2024,80.66,31001,28903
4/23/2024,80.61,31283,28575
4/22/2024,79.71,31330,28239
4/19/2024,80.07,31158,27838
4/18/2024,80.31,31512,27444
4/17/2024,80.52,30638,26997
4/16/2024,82.38,30663,26584
4/15/2024,82.22,29415,26163
4/12/2024,82.25,27807,25808
4/11/2024,81.63,26987,25555
4/10/2024,81.8,26474,25349
4/9/2024,81.19,26460,25171
4/8/2024,81.72,26399,24998
4/5/2024,82.07,26306,24802
4/4/2024,81.96,26114,24574
4/3/2024,81.17,26083,24360
4/2/2024,80.53,26244,24109
4/1/2024,79.85,25305,23827
3/28/2024,80.26,25258,23592
3/27/2024,79.37,24801,23357
3/26/2024,79.44,24450,23068
3/25/2024,79.7,24340,22801
3/22/2024,78.81,24087,22478
3/21/2024,79.28,24015,22104
3/20/2024,79.32,23894,22570
3/19/2024,79.97,23802,23039
3/18/2024,79.72,23871,23497
3/15/2024,78.95,23455,23948
3/14/2024,78.67,22888,24386
3/13/2024,77.84,22910,24879
3/12/2024,76.46,22321,25332
3/11/2024,76.71,22011,25773
3/8/2024,76.28,21783,26242
3/7/2024,76.87,21726,26728
3/6/2024,76.65,20473,27226
3/5/2024,76.24,20438,27825
3/4/2024,76.79,19503,28415
3/1/2024,76.84,18470,29051
2/29/2024,76.44,31004,29769
2/28/2024,76.73,30928,29632
2/27/2024,77.2,30680,29459
2/26/2024,76.66,30634,29284
2/23/2024,76.07,30022,29109
2/22/2024,77.29,30276,28968
2/21/2024,76.88,29716,28744
2/20/2024,76.6,28937,29700
2/19/2024,77.68,29035,30681
2/16/2024,77.66,29083,31610
2/15/2024,77.36,29188,32507
2/14/2024,76.69,29459,33381
2/13/2024,77.35,29283,34222
2/12/2024,77.2,29054,35050
2/9/2024,77.17,29238,35849
2/8/2024,76.6,28942,36648
2/7/2024,75.18,28341,37465
2/6/2024,74.7,28047,38319
2/5/2024,74.5,28017,39214
2/2/2024,73.76,27902,40114
2/1/2024,74.76,26914,41002
1/31/2024,76.7,44063,41885
1/30/2024,78.25,43648,41602
1/29/2024,77.56,42964,41336
1/26/2024,78.51,42545,41054
