Date,Last Price,Open Interest,SMAVG (15)
10/22/2024,677.5,1390,2150
10/21/2024,663.75,1236,2270
10/18/2024,657.5,1234,2396
10/17/2024,664.75,1100,2521
10/16/2024,661.5,1083,2621
10/15/2024,663.5,1083,2722
10/14/2024,688.5,1072,2822
10/11/2024,699,1071,2921
10/10/2024,693.25,3162,3016
10/9/2024,687,3013,2961
10/8/2024,689,3049,2913
10/7/2024,709,3578,2862
10/4/2024,697.5,3743,2777
10/3/2024,688.5,3209,2679
10/2/2024,670.25,3223,2599
10/1/2024,678.25,3189,2518
9/30/2024,665,3130,2438
9/27/2024,659.25,3104,2362
9/26/2024,664.25,2607,2288
9/25/2024,674.25,2593,2200
9/24/2024,674,2592,2101
9/23/2024,666.75,2553,2002
9/20/2024,669.25,2498,1905
9/19/2024,669.75,2331,1812
9/18/2024,663.25,2294,1730
9/17/2024,662.25,2284,1639
9/16/2024,655.75,2311,1542
9/13/2024,657.5,2260,1432
9/12/2024,662.25,2023,1325
9/11/2024,642.25,1996,1235
9/10/2024,646.25,1992,1146
9/9/2024,655.25,1996,1056
9/6/2024,658.25,1991,965
9/5/2024,667.25,1287,873
9/4/2024,665.5,1110,828
9/3/2024,670.75,1102,794
9/2/2024,684,1102,761
8/30/2024,687.75,1102,944
8/29/2024,696.75,1098,1128
8/28/2024,691.25,938,1311
8/27/2024,700.75,820,1504
8/26/2024,709.75,661,1706
8/23/2024,696.75,662,1917
8/22/2024,690,664,2123
8/21/2024,689,662,2329
8/20/2024,687,651,2532
8/19/2024,700.25,621,2733
8/16/2024,702.75,613,2926
8/15/2024,714.75,608,3111
8/14/2024,708.5,608,3290
8/13/2024,710.25,608,3469
8/12/2024,710.25,3837,3643
8/9/2024,703.25,3866,3601
8/8/2024,700.5,3842,3557
8/7/2024,699.75,3842,3514
8/6/2024,688.75,3845,3470
8/5/2024,689,3826,3426
8/2/2024,692.75,3755,3382
8/1/2024,715.5,3752,3341
7/31/2024,716,3702,5011
7/30/2024,703,3668,6704
7/29/2024,708,3512,8456
7/26/2024,708,3392,10345
7/25/2024,717.25,3296,12285
7/24/2024,719,3298,14222
7/23/2024,711.25,3209,16134
7/22/2024,717,3211,18026
7/19/2024,724.5,3200,19907
7/18/2024,730.25,3200,21743
7/17/2024,728.75,3186,23527
7/16/2024,727.25,3178,25307
7/15/2024,734,3166,27109
7/12/2024,738.5,3138,28912
7/11/2024,738.5,28816,30693
7/10/2024,739.75,29093,30730
7/9/2024,739.75,29938,30674
7/8/2024,749.5,31855,30571
7/5/2024,759.5,32498,30304
7/4/2024,759,32341,29970
7/3/2024,752.25,31985,29618
7/2/2024,757.25,31588,27708
7/1/2024,750,31419,25817
6/28/2024,742,30742,23938
6/27/2024,744.75,29967,22104
6/26/2024,739.25,29878,20316
6/25/2024,742.75,30218,18535
6/24/2024,741,30199,16732
6/21/2024,738.75,29855,14925
6/20/2024,739,29373,13148
6/19/2024,740.25,28247,11394
6/18/2024,734.25,28402,9716
6/17/2024,729,27849,8019
6/14/2024,727.25,27481,6353
6/13/2024,730.5,27073,4710
6/12/2024,726.25,3323,3089
6/11/2024,727,3230,3052
6/10/2024,723.25,3230,3020
6/7/2024,712.25,3234,2988
6/6/2024,710.25,3142,2956
6/5/2024,701.75,3167,2924
6/4/2024,706.5,3177,2890
6/3/2024,708.5,3090,2856
5/31/2024,724.5,3200,2827
5/30/2024,729.25,3064,2861
5/29/2024,733.25,3085,2905
5/28/2024,737.25,2947,2946
5/27/2024,731.25,2856,2995
5/24/2024,722.25,2836,3049
5/23/2024,723.5,2748,3105
5/22/2024,727.5,2773,3164
5/21/2024,734.75,2755,3147
5/20/2024,738,2745,3136
5/17/2024,735.25,2750,3124
5/16/2024,727.25,2661,3113
5/15/2024,727.75,2664,3108
5/14/2024,722.5,2660,3099
5/13/2024,729,2665,3089
5/10/2024,731.25,3712,3080
5/9/2024,734.75,3714,2995
5/8/2024,735.25,3698,2912
5/7/2024,734.25,3683,2828
5/6/2024,734.75,3675,2735
5/3/2024,733.25,3670,2643
5/2/2024,728.75,3634,2550
5/1/2024,731.25,2522,2527
4/30/2024,743.5,2586,2572
4/29/2024,745.75,2573,2610
4/26/2024,751.5,2581,2648
4/25/2024,740.75,2576,2688
4/24/2024,745.5,2530,2727
4/23/2024,744.5,2523,2756
4/22/2024,740.75,2520,2773
4/19/2024,743.5,2442,2784
4/18/2024,742.25,2460,2801
4/17/2024,758,2438,2809
4/16/2024,764.25,2289,2816
4/15/2024,762,2305,2829
4/12/2024,770.75,2272,2840
4/11/2024,762.25,3284,2854
4/10/2024,758,3208,2798
4/9/2024,760.25,3146,2745
4/8/2024,759.25,3150,2690
4/5/2024,767,3171,2634
4/4/2024,759.25,3170,2574
4/3/2024,763.25,2968,2502
4/2/2024,757,2771,2364
4/1/2024,748.75,2690,2240
3/28/2024,744.25,2693,2121
3/27/2024,740.75,2579,2002
3/26/2024,741,2546,1890
3/25/2024,743.25,2484,1779
3/22/2024,738,2470,1673
3/21/2024,740.25,2473,1568
3/20/2024,743,2455,1462
3/19/2024,751.25,2414,1357
3/18/2024,750.25,2317,1255
3/15/2024,743.75,2310,1160
3/14/2024,737.5,2264,1063
3/13/2024,730.25,2098,969
3/12/2024,725,901,886
3/11/2024,724.5,899,882
3/8/2024,716.25,913,878
3/7/2024,724,911,871
3/6/2024,728,889,864
3/5/2024,720,889,851
3/4/2024,720.25,891,839
3/1/2024,727.25,891,858
2/29/2024,719.75,887,877
2/28/2024,715.5,885,897
2/27/2024,723.5,884,923
2/26/2024,720.25,887,939
2/23/2024,715.25,857,954
2/22/2024,720.75,851,971
2/21/2024,718.5,848,989
2/20/2024,718.5,848,1005
2/19/2024,727.75,838,1022
2/16/2024,725,814,1039
2/15/2024,729.25,794,1058
2/14/2024,725,705,1080
2/13/2024,730.25,705,1106
2/12/2024,729.5,1180,1131
2/9/2024,730.5,1176,1122
2/8/2024,723,1180,1114
2/7/2024,715,1275,1106
2/6/2024,710.5,1123,1090
2/5/2024,702.5,1116,1085
2/2/2024,699.5,1116,1079
2/1/2024,723.25,1114,1074
1/31/2024,724.25,1094,1662
1/30/2024,729.75,1096,2223
1/29/2024,727.25,1099,2766
1/26/2024,722.5,1101,3297
1/25/2024,720.5,1123,3833
1/24/2024,714.75,1087,4367
1/23/2024,711.75,1083,4904
1/22/2024,707.5,1052,5437
1/19/2024,701.25,1052,5971
1/18/2024,699,1052,6489
1/17/2024,692,1046,7004
1/16/2024,698.75,1046,7521
1/15/2024,696.25,1026,8039
1/12/2024,702.5,1042,8559
1/11/2024,704.5,9930,9078
1/10/2024,694.5,9507,9012
1/9/2024,696,9244,8974
1/8/2024,682.5,9070,8971
1/5/2024,697.75,9134,8969
1/4/2024,687.75,9141,8961
1/3/2024,702,9140,8408
1/2/2024,686.5,9066,7852
12/29/2023,691.5,9070,7300
12/28/2023,703.25,8825,6746
12/27/2023,711.75,8775,6209
12/26/2023,716.5,8798,5674
12/22/2023,715.75,8822,5138
12/21/2023,716.5,8816,4601
12/20/2023,725.25,8826,4063
12/19/2023,725.5,8941,3524
12/18/2023,722.75,8940,2978
12/15/2023,711.25,9207,2432
12/14/2023,709.75,9037,1869
12/13/2023,693.25,9008,1317
12/12/2023,690,845,765
12/11/2023,703.5,803,757
12/8/2023,705.25,781,751
12/7/2023,699.25,763,745
12/6/2023,699.75,768,741
12/5/2023,719.5,758,730
12/4/2023,724,758,718
12/1/2023,736,758,705
11/30/2023,727.5,755,699
11/29/2023,742,745,694
11/28/2023,744.5,749,689
11/27/2023,736,751,682
11/24/2023,748.25,751,675
11/23/2023,741.5,755,666
11/22/2023,733.5,736,657
11/21/2023,743.5,731,648
11/20/2023,746.25,702,639
11/17/2023,730.25,702,633
11/16/2023,719.75,702,625
11/15/2023,737.5,603,617
11/14/2023,745.75,569,616
11/13/2023,738.25,569,617
11/10/2023,732.75,672,618
11/9/2023,730.75,670,612
11/8/2023,738.25,675,606
11/7/2023,747.5,639,599
11/6/2023,768.25,642,596
11/3/2023,764.75,622,593
11/2/2023,773.25,622,592
11/1/2023,770,601,661
10/31/2023,768.25,602,727
10/30/2023,763.25,602,794
10/27/2023,771,583,856
10/26/2023,774.25,583,912
10/25/2023,771.5,583,964
10/24/2023,768.75,583,1017
10/23/2023,786.75,585,1068
10/20/2023,795.5,585,1120
10/19/2023,789,579,1170
10/18/2023,791.25,581,1220
10/17/2023,779.5,593,1267
10/16/2023,788.5,598,1314
10/13/2023,783,603,1361
10/12/2023,768.25,1647,1408
10/11/2023,758.25,1599,1387
10/10/2023,765,1599,1366
10/9/2023,754.25,1544,1348
10/6/2023,740.5,1414,1336
10/5/2023,738,1374,1327
10/4/2023,760,1365,1311
10/3/2023,775.25,1360,1279
10/2/2023,775.5,1355,1245
9/29/2023,789.25,1345,1214
9/28/2023,787.25,1322,1184
9/27/2023,791,1290,1135
9/26/2023,783.25,1299,1085
9/25/2023,783.75,1304,1034
9/22/2023,788.5,1304,982
9/21/2023,794.5,1326,931
9/20/2023,789.75,1290,878
9/19/2023,793.5,1329,828
9/18/2023,787,1356,774
9/15/2023,787.25,1289,718
9/14/2023,792,1126,666
9/13/2023,782.25,886,625
9/12/2023,786.25,857,600
9/11/2023,783,887,577
9/8/2023,780.25,901,549
9/7/2023,768.5,576,521
9/6/2023,762.75,539,515
9/5/2023,773,539,510
9/4/2023,759,532,505
9/1/2023,757.75,532,501
8/31/2023,745.75,532,497
8/30/2023,743.75,532,658
8/29/2023,746.75,532,814
8/28/2023,752,510,971
8/25/2023,748.5,510,1126
8/24/2023,744.25,510,1282
8/23/2023,747.25,510,1434
8/22/2023,752.25,507,1585
8/21/2023,751.5,479,1733
8/18/2023,749.5,479,1883
8/17/2023,750.5,479,2034
8/16/2023,750.5,469,2185
8/15/2023,747.75,469,2326
8/14/2023,753.5,469,2460
8/11/2023,758.25,469,2590
8/10/2023,762,2947,2712
8/9/2023,766.75,2876,2671
8/8/2023,752.5,2876,2634
8/7/2023,754.75,2847,2602
8/4/2023,756,2837,2569
8/3/2023,748.5,2791,2536
8/2/2023,736,2781,2506
8/1/2023,744.25,2722,4210
7/31/2023,740.75,2730,5924
7/28/2023,736.5,2745,7629
7/27/2023,733,2745,9317
7/26/2023,729.75,2592,10972
7/25/2023,721.25,2476,12642
7/24/2023,722.5,2411,14282
7/21/2023,707.5,2304,15886
7/20/2023,700.5,2326,17490
7/19/2023,705,2324,19059
7/18/2023,699,2405,20636
7/17/2023,692.5,2343,22149
7/14/2023,696.75,2344,23637
7/13/2023,699,2344,25129
7/12/2023,697.5,28332,26661
7/11/2023,694.75,28433,26478
7/10/2023,688,28317,26317
7/7/2023,681.75,28056,26143
7/6/2023,664.75,27579,25998
7/5/2023,675,27636,25908
7/4/2023,669.75,27069,25830
7/3/2023,666,26484,25709
6/30/2023,668.25,26363,24109
6/29/2023,656.75,25858,22516
6/28/2023,662.25,25984,20946
6/27/2023,664.25,25095,19357
6/26/2023,661,24668,17825
6/23/2023,656.25,24724,16322
6/22/2023,660.25,25324,14808
6/21/2023,677.25,25582,13252
6/20/2023,663,26020,11680
6/19/2023,670,25699,10074
6/16/2023,672.5,25885,8489
6/15/2023,663.5,26224,6892
6/14/2023,653.75,26475,5273
6/13/2023,659.25,25245,3636
6/12/2023,648,2483,2081
6/9/2023,668.75,2479,2042
6/8/2023,666.75,2302,2003
6/7/2023,672,2149,1975
6/6/2023,666.75,2117,1957
6/5/2023,672.5,2115,1935
6/2/2023,666.5,2019,1906
6/1/2023,656,1991,1890
5/31/2023,648.25,1996,1837
5/30/2023,654.75,1932,1783
5/29/2023,669.5,1929,1733
5/26/2023,670.5,1928,1682
5/25/2023,661.25,1937,1625
5/24/2023,675,1925,1562
5/23/2023,668.75,1920,1495
5/22/2023,663,1890,1427
5/19/2023,665.5,1891,1360
5/18/2023,667.75,1891,1294
5/17/2023,668.5,1880,1224
5/16/2023,659.25,1783,1152
5/15/2023,659.75,1673,1081
5/12/2023,655.25,1777,1017
5/11/2023,665,1200,946
5/10/2023,673.5,1185,913
5/9/2023,662,1185,881
5/8/2023,670.5,1171,850
5/5/2023,656.5,1061,819
5/4/2023,642.75,1003,794
5/3/2023,638.75,922,771
5/2/2023,656,891,885
5/1/2023,678.5,892,1001
4/28/2023,680.75,892,1116
4/27/2023,675,840,1231
4/26/2023,687.25,804,1349
4/25/2023,690.5,715,1460
4/24/2023,704.75,715,1576
4/21/2023,695.75,709,1692
4/20/2023,692.5,714,1808
4/19/2023,706.5,703,1922
4/18/2023,715,722,2038
4/17/2023,712,703,2152
4/14/2023,719.75,682,2268
4/13/2023,723.5,657,2384
4/12/2023,724.25,2630,2501
4/11/2023,717,2632,2468
4/10/2023,718,2616,2435
4/6/2023,718,2616,2403
4/5/2023,721.75,2619,2362
4/4/2023,710.5,2465,2313
4/3/2023,720.75,2463,2263
3/31/2023,696.75,2456,2212
3/30/2023,697,2437,2155
3/29/2023,699.75,2436,2095
3/28/2023,704.25,2442,2034
3/27/2023,692,2432,1971
3/24/2023,682.75,2432,1910
3/23/2023,696,2432,1849
3/22/2023,692.5,2414,1799
3/21/2023,686.5,2132,1744
3/20/2023,681,2132,1698
3/17/2023,684.75,2142,1651
3/16/2023,676.75,1999,1595
3/15/2023,667,1878,1544
3/14/2023,709.5,1714,1498
3/13/2023,716.25,1702,1461
3/10/2023,729.25,1606,1412
3/9/2023,727.5,1525,1369
3/8/2023,726.75,1523,1318
3/7/2023,737.25,1506,1263
3/6/2023,748.5,1514,1208
3/3/2023,750,1514,1153
3/2/2023,744,1679,1140
3/1/2023,736,1591,1118
2/28/2023,737,1445,1100
2/27/2023,731.75,1425,1092
2/24/2023,728.5,1311,1072
2/23/2023,716.5,1230,1056
2/22/2023,716.5,1185,1045
2/21/2023,724.5,1158,1038
2/20/2023,728.5,970,1032
2/17/2023,723.75,960,1039
2/16/2023,734.5,760,1046
2/15/2023,732.5,691,1068
2/14/2023,738.25,691,1094
2/13/2023,740.25,691,1120
2/10/2023,739.25,1320,1142
2/9/2023,734.5,1338,1121
2/8/2023,740.25,1322,1093
2/7/2023,736.5,1324,1066
2/6/2023,711.25,1130,1039
2/3/2023,727.75,1076,1007
2/2/2023,736.25,1066,978
2/1/2023,750.75,1071,1408
1/31/2023,758.5,1071,1837
1/30/2023,753.25,1071,2263
1/27/2023,759,1071,2685
1/26/2023,767,1086,3096
1/25/2023,766,1086,3508
1/24/2023,779.75,1074,3900
1/23/2023,791.25,1024,4262
1/20/2023,777.5,1003,4621
1/19/2023,762,919,4981
1/18/2023,774.75,919,5346
1/17/2023,770.75,924,5704
1/16/2023,764.5,640,6057
1/13/2023,766.75,640,6425
1/12/2023,761.5,7514,6790
1/11/2023,748.25,7506,6694
1/10/2023,735.25,7468,6585
1/9/2023,736.75,7399,6479
1/6/2023,731.5,7244,6377
1/5/2023,726,7258,6287
1/4/2023,723.25,6966,6202
1/3/2023,750.5,6508,6119
1/2/2023,753.5,6404,5711
12/30/2022,753.5,6404,5309
12/29/2022,749.5,6401,4907
12/28/2022,761,6287,4503
12/27/2022,785.25,6218,4107
12/23/2022,749.75,6156,3717
12/22/2022,750,6122,3335
12/21/2022,758.5,6069,2961
12/20/2022,740,5871,2590
12/19/2022,739.5,5877,2233
12/16/2022,737,5872,1875
12/15/2022,752.75,5897,1517
12/14/2022,770.25,5972,1157
12/13/2022,755,5728,792
12/12/2022,748.75,381,444
12/9/2022,734,378,452
12/8/2022,735.25,373,461
12/7/2022,743.75,349,469
12/6/2022,751,349,480
12/5/2022,776.5,355,484
12/2/2022,786.25,437,488
12/1/2022,796.5,506,486
11/30/2022,782.75,508,487
11/29/2022,763.5,508,487
11/28/2022,760.75,508,487
11/25/2022,766.25,501,487
11/24/2022,773.25,500,488
11/23/2022,768.5,503,488
11/22/2022,781.75,503,488
11/21/2022,752.75,503,487
11/18/2022,764.5,506,477
11/17/2022,771,505,467
11/16/2022,790.75,505,456
11/15/2022,799.25,419,446
11/14/2022,787.25,413,442
11/11/2022,792.5,404,437
11/10/2022,789.75,513,434
11/9/2022,792.5,513,423
11/8/2022,821.25,513,412
11/7/2022,831.75,508,401
11/4/2022,821.25,508,389
11/3/2022,810.5,507,378
11/2/2022,809.5,506,367
11/1/2022,796.75,486,475
10/31/2022,795.25,350,582
10/28/2022,799.5,349,696
10/27/2022,809.75,351,799
10/26/2022,809.25,351,866
10/25/2022,793.75,351,929
10/24/2022,790.75,351,991
10/21/2022,785.75,351,1038
10/20/2022,797.5,351,1085
10/19/2022,794,351,1131
10/18/2022,798,339,1176
10/17/2022,814.5,339,1222
10/14/2022,811.25,339,1269
10/13/2022,824.75,339,1315
10/12/2022,825.5,2122,1361
10/11/2022,829.25,2091,1288
10/10/2022,849,2069,1216
10/7/2022,848.75,1897,1146
10/6/2022,824.25,1354,1088
10/5/2022,815.25,1289,1063
10/4/2022,802.25,1279,1044
10/3/2022,786.75,1063,1025
9/30/2022,776,1060,1041
9/29/2022,784.25,1031,1055
9/28/2022,784.75,1031,1072
9/27/2022,769.5,1031,1089
9/26/2022,766.75,1033,1105
9/23/2022,777.75,1030,1122
9/22/2022,799.5,1031,1136
9/21/2022,790.75,1036,1146
9/20/2022,799.5,1013,1157
9/19/2022,802.5,1013,1168
9/16/2022,801.5,1021,1179
9/15/2022,796.25,991,1190
9/14/2022,818.25,994,1194
9/13/2022,818.5,994,1193
9/12/2022,842.75,1300,1182
9/9/2022,827.25,1281,1145
9/8/2022,809.5,1281,1112
9/7/2022,812,1282,1062
9/6/2022,822.25,1282,1014
9/5/2022,840.75,1282,965
9/2/2022,824.25,1243,916
9/1/2022,819.25,1182,870
8/31/2022,844.75,1189,931
8/30/2022,839.75,1182,992
8/29/2022,884,1181,1052
8/26/2022,872.75,1181,1110
8/25/2022,883,1049,1169
8/24/2022,881.25,982,1234
8/23/2022,881.25,830,1304
8/22/2022,860,746,1383
8/19/2022,859.5,781,1467
8/18/2022,855,539,1550
8/17/2022,838.5,554,1647
8/16/2022,834,554,1744
8/15/2022,835.25,554,1841
8/12/2022,853.75,546,1938
8/11/2022,852.5,2100,2036
8/10/2022,838.25,2102,2030
8/9/2022,844,2077,2023
8/8/2022,832.75,2061,2018
8/5/2022,835.25,2053,2013
8/4/2022,830.5,2036,2008
8/3/2022,847.75,2026,2004
8/2/2022,856.5,2015,2000
8/1/2022,839.25,2014,3124
7/29/2022,878,2014,4266
7/28/2022,868.25,2002,5412
7/27/2022,867.5,2011,6566
7/26/2022,855.75,2009,7724
7/25/2022,848.25,2009,8866
7/22/2022,852.5,2009,10079
7/21/2022,843.75,2009,11279
7/20/2022,854.75,1999,12474
7/19/2022,847.5,2003,13703
7/18/2022,858,1987,14986
7/15/2022,843,1980,16272
7/14/2022,825.25,1966,17555
7/13/2022,838.25,1968,18844
7/12/2022,839.25,18887,20141
7/11/2022,865.75,19132,20323
7/8/2022,854,19206,20479
7/7/2022,840,19321,20606
7/6/2022,808.25,19377,20691
7/5/2022,832,19144,20724
7/4/2022,894.5,20201,20741
7/1/2022,876.25,20012,20686
6/30/2022,865.75,19928,19463
6/29/2022,894.75,20428,18246
6/28/2022,883,21256,16993
6/27/2022,885.25,21279,15684
6/24/2022,893.5,21221,14372
6/23/2022,884.25,21307,13059
6/22/2022,886.5,21415,11740
6/21/2022,898.75,21621,10413
6/20/2022,890.5,21468,9069
6/17/2022,876.25,21108,7726
6/16/2022,888.25,20595,6406
6/15/2022,896,19877,5121
6/14/2022,899.25,19404,3880
6/13/2022,888.5,19370,2671
6/10/2022,905,1675,1464
6/9/2022,915.25,1663,1436
6/8/2022,905.75,1636,1410
6/7/2022,892.25,1617,1386
6/6/2022,883,1605,1363
6/3/2022,890.5,1524,1341
6/2/2022,872.25,1519,1325
6/1/2022,862.5,1511,1357
5/31/2022,866.5,1461,1390
5/30/2022,852.5,1323,1424
5/27/2022,849.5,1317,1462
5/26/2022,846.25,1306,1498
5/25/2022,830.25,1269,1533
5/24/2022,831.25,1264,1569
5/23/2022,818,1265,1605
5/20/2022,814.5,1265,1640
5/19/2022,806.75,1265,1675
5/18/2022,815.25,1282,1709
5/17/2022,837,1275,1742
5/16/2022,834.5,1270,1775
5/13/2022,832.25,1286,1809
5/12/2022,835.75,2001,1834
5/11/2022,838,2001,1803
5/10/2022,812.5,1972,1771
5/9/2022,818.5,1899,1741
5/6/2022,848.25,1855,1715
5/5/2022,838.75,1830,1692
5/4/2022,830.25,1807,1669
5/3/2022,810.5,1797,1670
5/2/2022,818.25,1796,1670
4/29/2022,821.75,1786,1669
4/28/2022,822.25,1780,1668
4/27/2022,812.5,1775,1668
4/26/2022,815,1775,1669
4/25/2022,792.5,1769,1669
4/22/2022,825.25,1669,1667
4/21/2022,832.25,1532,1672
4/20/2022,821.25,1521,1685
4/19/2022,809.5,1521,1700
4/18/2022,842.75,1510,1713
4/14/2022,825.25,1505,1727
4/13/2022,825.5,1490,1741
4/12/2022,823,1826,1756
4/11/2022,802,1801,1746
4/8/2022,800.75,1776,1736
4/7/2022,794,1774,1728
4/6/2022,809.5,1781,1720
4/5/2022,815,1782,1711
4/4/2022,821.25,1782,1702
4/1/2022,799.75,1738,1692
3/31/2022,795.75,1738,1686
3/30/2022,791.5,1734,1642
3/29/2022,770.25,1735,1598
3/28/2022,778,1719,1552
3/25/2022,798.25,1718,1507
3/24/2022,793.5,1718,1462
3/23/2022,804,1715,1416
3/22/2022,784,1678,1371
3/21/2022,790.5,1656,1329
3/18/2022,768,1652,1289
3/17/2022,759,1652,1247
3/16/2022,737.25,1652,1204
3/15/2022,745.75,1640,1160
3/14/2022,745.75,1639,1118
3/11/2022,770.5,1639,1074
3/10/2022,758.5,1079,1030
3/9/2022,796.75,1078,1022
3/8/2022,837.5,1046,1015
3/7/2022,823,1045,1006
3/4/2022,789,1034,997
3/3/2022,768,1038,988
3/2/2022,740.5,1043,1019
3/1/2022,729,1045,1049
2/28/2022,719.25,1050,1080
2/25/2022,706.75,1029,1108
2/24/2022,736.5,1002,1126
2/23/2022,722.25,997,1145
2/22/2022,717.5,1000,1163
2/21/2022,710.25,985,1184
2/18/2022,701.25,985,1206
2/17/2022,694.25,960,1227
2/16/2022,705.75,960,1250
2/15/2022,694,912,1274
2/14/2022,710,912,1294
2/11/2022,705.25,908,1314
2/10/2022,707,1497,1333
2/9/2022,705.5,1498,1312
2/8/2022,691.5,1508,1288
2/7/2022,704.25,1464,1263
2/4/2022,700.25,1303,1240
2/3/2022,687.25,1279,1224
2/2/2022,680.75,1281,1210
2/1/2022,681.5,1308,1838
1/31/2022,679,1308,2416
1/28/2022,682.25,1308,3016
1/27/2022,681.75,1307,3612
1/26/2022,685.5,1313,4216
1/25/2022,674.5,1219,4812
1/24/2022,664,1211,5390
1/21/2022,678.5,1188,5970
1/20/2022,681.25,1187,6534
1/19/2022,676.5,1137,7096
1/18/2022,669.5,1137,7650
1/17/2022,663.75,1107,8192
1/14/2022,659.25,1075,8738
1/13/2022,655.75,1059,9285
1/12/2022,660.25,10713,9833
1/11/2022,655.5,9973,9742
1/10/2022,644.75,10303,9707
1/7/2022,647.75,10256,9639
1/6/2022,648.75,10359,9545
1/5/2022,647,10263,9436
1/4/2022,638.75,9881,9337
1/3/2022,636,9905,9267
12/31/2021,627,9658,9194
12/30/2021,635.25,9607,8600
12/29/2021,628.75,9447,8009
12/28/2021,633,9273,7425
12/27/2021,633.5,9299,6847
12/24/2021,610.25,9286,6265
12/23/2021,617.5,9269,5685
12/22/2021,609.25,9345,5105
12/21/2021,604,9450,4518
12/20/2021,579.25,9287,3924
12/17/2021,606,8842,3343
12/16/2021,614.75,8729,2788
12/15/2021,602.5,8774,2241
12/14/2021,609,8841,1691
12/13/2021,614,8802,1136
12/10/2021,613,745,584
12/9/2021,615.75,746,571
12/8/2021,618,681,557
12/7/2021,614,607,548
12/6/2021,590,578,544
12/3/2021,585.75,581,540
12/2/2021,576,561,535
12/1/2021,582.25,553,566
11/30/2021,574.5,530,599
11/29/2021,598,573,633
11/26/2021,584.25,520,658
11/25/2021,642.75,521,687
11/24/2021,644.75,521,715
11/23/2021,637.5,521,738
11/22/2021,628.25,522,760
11/19/2021,619.75,543,783
11/18/2021,634,544,803
11/17/2021,635.75,544,824
11/16/2021,641,547,844
11/15/2021,632.75,512,865
11/12/2021,637.25,514,886
11/11/2021,642.25,1028,907
11/10/2021,652.5,1041,894
11/9/2021,655.75,1041,880
11/8/2021,652.5,950,866
11/5/2021,648.5,950,858
11/4/2021,640.5,948,850
11/3/2021,633.25,869,843
11/2/2021,644,853,839
11/1/2021,644,854,902
10/29/2021,642.75,852,964
10/28/2021,641,852,1025
10/27/2021,647.75,852,1079
10/26/2021,657.25,852,1123
10/25/2021,656.75,833,1149
10/22/2021,649.25,832,1177
10/21/2021,645.25,832,1210
10/20/2021,657,832,1236
10/19/2021,655.25,832,1256
10/18/2021,652.75,832,1274
10/15/2021,657.5,832,1282
10/14/2021,649.25,834,1289
10/13/2021,650.25,817,1292
10/12/2021,652.75,1796,1292
10/11/2021,656.5,1780,1227
10/8/2021,650.25,1767,1163
