Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,75.99,,
2/7/2025,74.66,487065,299475
2/6/2025,74.29,499705,291892
2/5/2025,74.61,521099,284733
2/4/2025,76.2,539999,277553
2/3/2025,75.96,558825,269285
1/31/2025,76.76,57777,261743
1/30/2025,76.87,62758,289741
1/29/2025,76.58,91350,318312
1/28/2025,77.49,118563,345802
1/27/2025,77.08,177724,374338
1/24/2025,78.5,225587,400356
1/23/2025,78.29,224881,424388
1/22/2025,79,263437,449786
1/21/2025,79.29,305046,472863
1/20/2025,80.15,358306,457356
1/17/2025,80.79,373329,438934
1/16/2025,81.29,392313,422109
1/15/2025,82.03,413407,405063
1/14/2025,79.92,415975,388759
1/13/2025,81.01,445692,375342
1/10/2025,79.76,477740,361524
1/9/2025,76.92,491323,347516
1/8/2025,76.16,503711,335850
1/7/2025,77.05,546592,326057
1/6/2025,76.3,568001,315199
1/3/2025,76.51,586070,303523
1/2/2025,75.93,605850,290801
12/31/2024,74.64,609583,277196
12/30/2024,74.39,72451,265246
12/27/2024,74.17,81972,290462
12/26/2024,73.26,120949,316418
12/24/2024,73.58,136634,340801
12/23/2024,72.63,168839,365251
12/20/2024,72.94,214716,388557
12/19/2024,72.88,238435,379143
12/18/2024,73.39,267608,368865
12/17/2024,73.19,316332,358792
12/16/2024,73.91,356829,348054
12/13/2024,74.49,383714,337491
12/12/2024,73.41,392870,327534
12/11/2024,73.52,395228,320378
12/10/2024,72.19,401786,315240
12/9/2024,72.14,430327,311515
12/6/2024,71.12,450695,306156
12/5/2024,72.09,471314,300724
12/4/2024,72.31,486687,294350
12/3/2024,73.62,503390,287796
12/2/2024,71.83,518419,281116
11/29/2024,72.94,73510,275259
11/28/2024,73.28,84270,300981
11/27/2024,72.83,116516,326748
11/26/2024,72.81,155251,351783
11/25/2024,73.01,198394,374883
11/22/2024,75.17,234356,395972
11/21/2024,74.23,285524,415190
11/20/2024,72.81,318164,403841
11/19/2024,73.31,345915,390568
