Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,70.23,,
2/7/2025,69.67,20938,14100
2/6/2025,69.35,20808,13415
2/5/2025,69.16,20801,12740
2/4/2025,69.93,20531,12057
2/3/2025,69.42,20588,11388
1/31/2025,69.63,11032,10714
1/30/2025,69.76,10782,10678
1/29/2025,69.64,10848,10659
1/28/2025,70.01,10721,10634
1/27/2025,70.28,10816,10593
1/24/2025,71.28,10785,10560
1/23/2025,71.55,10737,10536
1/22/2025,71.59,10697,10501
1/21/2025,71.57,10709,10472
1/20/2025,71.83,10701,10631
1/17/2025,71.53,10675,10790
1/16/2025,71.72,10679,10946
1/15/2025,72.33,10557,11104
1/14/2025,71.83,10486,11270
1/13/2025,71.53,10483,11442
1/10/2025,71.89,10494,11608
1/9/2025,71.13,10492,11775
1/8/2025,70.95,10478,11937
1/7/2025,71.44,10099,12099
1/6/2025,71.17,10335,12286
1/3/2025,71.12,10411,12474
1/2/2025,70.94,10214,12656
12/31/2024,70.33,10260,12814
12/30/2024,69.97,13106,12969
12/27/2024,69.67,13078,12913
12/26/2024,69.29,13021,12858
12/24/2024,69.63,13040,12810
12/23/2024,69.09,13047,12620
12/20/2024,69.12,13070,12408
12/19/2024,68.97,12978,17117
12/18/2024,69.55,12990,21780
12/17/2024,69.72,12927,26397
12/16/2024,70.3,12905,30887
12/13/2024,70.66,12904,35176
12/12/2024,70.13,13165,39493
12/11/2024,70.04,13128,43770
12/10/2024,69.5,12594,48076
12/9/2024,69.55,12587,52352
12/6/2024,68.72,12257,56648
12/5/2024,69.11,12258,60951
12/4/2024,69.32,12300,65116
12/3/2024,70.32,10188,69130
12/2/2024,69.17,9875,73230
11/29/2024,69.2,83697,77246
11/28/2024,69.99,82927,76334
11/27/2024,69.57,82236,75438
11/26/2024,69.79,80281,74617
11/25/2024,69.69,77248,74073
11/22/2024,71.22,77647,73767
11/21/2024,70.64,77328,73250
11/20/2024,70.17,77712,68808
11/19/2024,70.6,76742,64332
11/18/2024,70.4,77026,59937
11/15/2024,68.64,76802,55520
11/14/2024,69.7,74737,51093
11/13/2024,69.66,72499,46803
11/12/2024,69.63,71689,42662
11/11/2024,69.78,70124,38571
11/8/2024,71.08,70019,34585
11/7/2024,71.93,69483,30615
11/6/2024,71.42,69925,26681
11/5/2024,71.59,72119,22716
11/4/2024,71.32,72653,18603
11/1/2024,70.45,69888,14455
10/31/2024,70.3,10698,10489
10/30/2024,70.07,10582,10468
10/29/2024,69.09,10809,10454
10/28/2024,69.17,10775,10393
10/25/2024,72.39,10388,10330
10/24/2024,71.34,10389,10270
10/23/2024,71.56,10392,10210
10/22/2024,72.4,10322,10145
10/21/2024,71.28,10326,10081
10/18/2024,70.48,10476,9900
10/17/2024,71.28,10477,9709
10/16/2024,70.96,10445,9523
10/15/2024,71.38,10424,9342
10/14/2024,73.69,10433,9164
10/11/2024,74.42,10400,8985
10/10/2024,74.36,10380,8802
10/9/2024,73.05,10376,8622
10/8/2024,73.78,9890,8446
10/7/2024,75.55,9838,8301
10/4/2024,73.61,9481,8161
10/3/2024,73.94,9495,8051
10/2/2024,71.68,9413,7941
10/1/2024,71.66,9365,7841
9/30/2024,70.5,7605,7743
9/27/2024,70.23,7606,7756
9/26/2024,70.1,7691,7771
9/25/2024,71.1,7738,7762
9/24/2024,72.06,7755,7744
9/23/2024,71.09,7743,7723
9/20/2024,71.18,7655,7698
9/19/2024,71.3,7685,8205
9/18/2024,70.73,7729,8712
9/17/2024,70.85,7710,9215
9/16/2024,70.23,7741,9722
9/13/2024,69.42,7832,10249
9/12/2024,69.86,7845,10775
9/11/2024,68.85,7916,11313
9/10/2024,67.93,7887,11842
9/9/2024,69.81,7814,12388
9/6/2024,69.64,7823,12933
9/5/2024,70.57,7564,13478
9/4/2024,70.08,7460,14042
