Date,Last Price,Open Interest,SMAVG (15)
2/13/2025,73.09,,
2/12/2025,73.21,147068,116417
2/11/2025,74.69,143880,112387
2/10/2025,73.56,143180,108291
2/7/2025,72.57,141945,104241
2/6/2025,72.11,142819,100125
2/5/2025,72.1,140155,95898
2/4/2025,73.32,134134,91457
2/3/2025,72.77,123963,87382
1/31/2025,73.17,99868,83759
1/30/2025,73.37,93976,81719
1/29/2025,73.05,91205,80374
1/28/2025,73.65,88399,79138
1/27/2025,73.73,86988,78039
1/24/2025,75.05,86984,77021
1/23/2025,75.26,81684,76005
1/22/2025,75.53,86629,75099
1/21/2025,75.58,82429,73869
1/20/2025,75.91,82434,74059
1/17/2025,75.98,80209,74144
1/16/2025,76.24,79411,74414
1/15/2025,76.98,73542,74667
1/14/2025,75.88,73009,75257
1/13/2025,76.11,69622,75918
1/10/2025,76.17,69263,76701
1/9/2025,74.46,73805,77315
1/8/2025,74,72665,77556
1/7/2025,74.67,71910,77919
1/6/2025,74.16,71723,78300
1/3/2025,74.32,71746,78650
1/2/2025,73.9,68095,79072
12/31/2024,72.94,68170,79642
12/30/2024,72.61,85283,80134
12/27/2024,72.3,83709,79547
12/26/2024,71.53,84260,79012
12/24/2024,71.89,83208,78439
12/23/2024,71.2,82388,77868
12/20/2024,71.34,82929,77272
12/19/2024,71.24,81356,86154
12/18/2024,71.89,78483,94930
12/17/2024,71.87,77418,103838
12/16/2024,72.47,78105,112865
12/13/2024,73.02,77623,121655
12/12/2024,72.2,76976,130098
12/11/2024,72.17,78070,138417
12/10/2024,71.22,76645,146681
12/9/2024,71.17,75558,155080
12/6/2024,70.17,76475,163713
12/5/2024,70.85,75691,172017
12/4/2024,71.11,75653,180357
12/3/2024,72.31,74651,188465
12/2/2024,70.84,73453,196623
11/29/2024,70.93,216159,204509
11/28/2024,71.8,212987,202553
11/27/2024,71.31,212106,200891
11/26/2024,71.48,212818,199328
11/25/2024,71.6,209955,197764
11/22/2024,73.55,204268,196131
11/21/2024,72.82,201771,195014
11/20/2024,71.85,202022,186957
11/19/2024,72.33,202629,178810
11/18/2024,72.3,205064,170737
11/15/2024,70.19,201022,162835
11/14/2024,71.52,200795,154878
11/13/2024,71.32,197281,146981
11/12/2024,71.11,197008,139162
11/11/2024,71.22,191743,131379
11/8/2024,72.96,186833,123902
11/7/2024,74.34,188051,116699
11/6/2024,73.73,188659,109365
11/5/2024,74.15,189356,102079
11/4/2024,73.71,185466,94660
11/1/2024,72.08,187506,87637
10/31/2024,71.92,80914,80547
10/30/2024,71.31,79822,80530
10/29/2024,70.03,81540,80273
10/28/2024,70.25,86525,79869
10/25/2024,74.49,81673,78840
10/24/2024,73.03,82341,77830
10/23/2024,73.49,79997,76892
10/22/2024,74.4,80254,76110
10/21/2024,72.9,79599,75263
10/18/2024,71.79,78789,74617
10/17/2024,72.91,78035,73674
10/16/2024,72.69,79370,72919
10/15/2024,72.92,78071,71867
10/14/2024,75.93,80115,70679
10/11/2024,77.17,81163,69417
10/10/2024,77.27,80658,67970
10/9/2024,74.97,75958,66499
10/8/2024,75.73,75493,65524
10/7/2024,78.63,71084,64444
10/4/2024,75.86,66525,63857
10/3/2024,75.93,68266,63567
10/2/2024,72.8,68277,62969
10/1/2024,72.58,67544,62541
9/30/2024,71.12,69910,62170
9/27/2024,70.84,64641,61645
9/26/2024,70.53,66705,61430
9/25/2024,72.18,63589,60909
9/24/2024,73.44,60260,60726
9/23/2024,72.24,61188,60718
9/20/2024,72.56,59446,60165
