Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,687.25,,
2/7/2025,677.5,46144,40755
2/6/2025,673.75,45177,40149
2/5/2025,674.5,44164,39572
2/4/2025,683.75,42249,39009
2/3/2025,684.25,41624,38567
1/31/2025,682,41363,38020
1/30/2025,682,40618,39951
1/29/2025,681.25,38574,41985
1/28/2025,677.75,39148,43904
1/27/2025,681.5,37936,45657
1/24/2025,694,39434,47487
1/23/2025,693.5,38845,49147
1/22/2025,698.75,38649,50893
1/21/2025,704.75,38892,52754
1/20/2025,706.5,38513,54843
1/17/2025,712.5,37056,56981
1/16/2025,712,36509,59274
1/15/2025,719.5,35720,61577
1/14/2025,710,35622,63952
1/13/2025,714.75,33424,66452
1/10/2025,704.75,70323,69073
1/9/2025,690,71136,69234
1/8/2025,679.75,67359,69519
1/7/2025,687.25,65441,70106
1/6/2025,688.25,65379,70827
1/3/2025,684.75,64338,69612
1/2/2025,689.75,65036,68436
12/31/2024,676,66559,67153
12/30/2024,673,70228,65725
12/27/2024,664.5,70590,64015
12/26/2024,657,71444,62279
12/24/2024,658.75,71056,60458
12/23/2024,653.75,71349,58678
12/20/2024,658.75,73120,56960
12/19/2024,661.75,72732,55122
12/18/2024,672.25,72744,53266
12/17/2024,659.75,75417,51419
12/16/2024,670.25,76163,49366
12/13/2024,673.75,76245,47232
12/12/2024,660.25,47157,45095
12/11/2024,663.75,46701,44909
12/10/2024,657.25,45790,44748
12/9/2024,655.5,45143,44629
12/6/2024,643.25,44577,44517
12/5/2024,650.25,44553,44371
12/4/2024,658.75,44130,44188
12/3/2024,665.75,44355,43939
12/2/2024,654.5,45571,43828
11/29/2024,664,45559,43547
11/28/2024,657.5,44879,43178
11/27/2024,661.5,45038,42749
11/26/2024,671.25,44625,42274
11/25/2024,663.25,44150,41774
11/22/2024,681,44195,41253
11/21/2024,675,44372,40631
11/20/2024,669.75,44286,39961
11/19/2024,671.75,43997,39337
11/18/2024,671.75,43469,38715
11/15/2024,661.5,42388,38064
11/14/2024,663.25,41800,37466
11/13/2024,659.75,40408,36885
11/12/2024,660.5,42690,36376
11/11/2024,654.25,41343,35676
11/8/2024,666.75,40030,35073
11/7/2024,678.5,38448,34548
11/6/2024,686.5,37905,34112
11/5/2024,691.25,37123,33730
11/4/2024,679.75,36338,33415
11/1/2024,669.5,34875,33142
10/31/2024,665.25,34320,32969
10/30/2024,659.5,34916,35349
10/29/2024,640.25,34677,37618
10/28/2024,647.75,33698,39820
10/25/2024,678.5,33415,42193
10/24/2024,667.5,33091,44525
10/23/2024,669.5,32777,46865
10/22/2024,675.75,32188,49098
10/21/2024,658,32300,51305
10/18/2024,650.75,32146,53427
10/17/2024,662.5,31907,55420
10/16/2024,658,32186,57403
10/15/2024,660.25,32395,59317
10/14/2024,691.75,32234,61260
10/11/2024,705.75,32283,63175
10/10/2024,698.5,70019,65113
10/9/2024,688.5,68954,64445
10/8/2024,693.25,67704,63893
10/7/2024,719.5,69291,63475
10/4/2024,703.25,68393,62977
10/3/2024,687.25,68200,62587
10/2/2024,664.5,66264,60628
10/1/2024,672,65292,58656
9/30/2024,657,64130,56668
9/27/2024,650.75,62049,54645
9/26/2024,654.25,61651,52644
9/25/2024,668.75,60893,50613
9/24/2024,666.75,61546,48683
9/23/2024,658.75,60957,46799
9/20/2024,662.25,61357,44884
9/19/2024,664.25,59990,42922
9/18/2024,655.5,60672,41110
9/17/2024,651.5,61439,39262
9/16/2024,644.75,61820,37419
9/13/2024,649,62538,35662
9/12/2024,656.25,38816,33870
9/11/2024,631.25,36687,33571
9/10/2024,635.25,35469,33392
