Date,Last Price,Open Interest,SMAVG (15)
2/10/2025,69.41,,
2/7/2025,68.96,5799,6205
2/6/2025,68.71,5797,6246
2/5/2025,68.5,5789,6289
2/4/2025,69.11,5819,6334
2/3/2025,68.66,5792,6378
1/31/2025,68.8,6433,6423
1/30/2025,68.9,6409,6429
1/29/2025,68.85,6381,6437
1/28/2025,69.14,6376,6447
1/27/2025,69.43,6378,6452
1/24/2025,70.33,6411,6457
1/23/2025,70.6,6443,6460
1/22/2025,70.59,6407,6462
1/21/2025,70.61,6409,6470
1/20/2025,70.89,6425,6593
1/17/2025,70.53,6417,6714
1/16/2025,70.66,6447,6836
1/15/2025,71.2,6459,6956
1/14/2025,70.78,6483,7074
1/13/2025,70.38,6473,7191
1/10/2025,70.64,6514,7307
1/9/2025,70.11,6530,7418
1/8/2025,70.01,6533,7531
1/7/2025,70.43,6454,7631
1/6/2025,70.24,6448,7737
1/3/2025,70.1,6451,7834
1/2/2025,70.03,6475,7931
12/31/2024,69.54,6537,8026
12/30/2024,69.18,8253,8120
12/27/2024,68.87,8241,8100
12/26/2024,68.6,8241,8079
12/24/2024,68.92,8241,8056
12/23/2024,68.45,8241,8035
12/20/2024,68.45,8229,8014
12/19/2024,68.33,8223,14197
12/18/2024,68.78,8174,20383
12/17/2024,68.96,8225,26586
12/16/2024,69.51,8031,32774
12/13/2024,69.8,8049,38918
12/12/2024,69.37,7902,44989
12/11/2024,69.28,7896,51040
12/10/2024,68.87,7912,57130
12/9/2024,68.97,7938,63222
12/6/2024,68.2,7954,69376
12/5/2024,68.51,7924,75460
12/4/2024,68.68,7908,81463
12/3/2024,69.62,7919,87329
12/2/2024,68.63,7933,93219
11/29/2024,68.68,100967,99038
11/28/2024,69.44,101012,98637
11/27/2024,69.05,101219,98184
11/26/2024,69.28,101051,97735
11/25/2024,69.11,100180,97275
11/22/2024,70.45,99125,96829
11/21/2024,69.95,98657,96540
11/20/2024,69.66,99246,90364
11/19/2024,70.08,99301,84146
11/18/2024,69.79,100242,77914
11/15/2024,68.19,99220,71617
11/14/2024,69.09,97964,65368
11/13/2024,69.15,95903,59200
11/12/2024,69.14,96262,53173
11/11/2024,69.29,95225,47124
11/8/2024,70.4,94950,41143
11/7/2024,71.09,94219,35182
11/6/2024,70.65,94487,29266
11/5/2024,70.76,94144,23328
11/4/2024,70.55,93489,17415
11/1/2024,69.96,94787,11546
10/31/2024,69.78,6015,5588
10/30/2024,69.69,5982,5545
10/29/2024,68.85,5822,5500
10/28/2024,68.86,5789,5472
10/25/2024,71.73,5477,5431
10/24/2024,70.81,5448,5422
10/23/2024,70.95,5501,5407
10/22/2024,71.78,5521,5386
10/21/2024,70.81,5521,5357
10/18/2024,70.06,5521,5193
10/17/2024,70.78,5484,5027
10/16/2024,70.53,5423,4859
10/15/2024,70.98,5450,4693
10/14/2024,73.05,5450,4525
10/11/2024,73.6,5419,4359
10/10/2024,73.55,5370,4188
10/9/2024,72.51,5303,4030
10/8/2024,73.15,5400,3886
10/7/2024,74.7,5184,3735
10/4/2024,73.03,5336,3598
10/3/2024,73.36,5222,3455
10/2/2024,71.39,5185,3313
10/1/2024,71.46,5094,3173
9/30/2024,70.34,3048,3038
9/27/2024,70.06,3030,3038
9/26/2024,69.96,2964,3037
9/25/2024,70.72,2936,3051
9/24/2024,71.52,2936,3067
9/23/2024,70.66,2956,3083
9/20/2024,70.66,2854,3100
9/19/2024,70.74,3004,3381
9/18/2024,70.29,3147,3653
9/17/2024,70.38,3126,3908
9/16/2024,69.81,3127,4162
9/13/2024,69.11,3189,4404
9/12/2024,69.53,3103,4642
9/11/2024,68.65,3074,4885
9/10/2024,67.86,3072,5123
9/9/2024,69.56,3048,5358
9/6/2024,69.43,3017,5600
9/5/2024,70.05,3172,5839
9/4/2024,69.62,3173,6066
9/3/2024,69.9,3190,6292
9/2/2024,71.71,3199,6514
8/30/2024,71.55,7079,6725
8/29/2024,72.56,7083,6677
8/28/2024,71.78,6970,6625
8/27/2024,72.49,6936,6581
8/26/2024,73.25,6750,6534
8/23/2024,72.31,6760,6496
8/22/2024,71.29,6758,6453
8/21/2024,70.81,6636,6406
8/20/2024,71.37,6600,6205
8/19/2024,71.98,6682,6007
8/16/2024,72.85,6591,5795
8/15/2024,73.6,6589,5589
8/14/2024,73.02,6555,5383
8/13/2024,73.36,6521,5180
8/12/2024,74.23,6363,4979
8/9/2024,72.76,6363,4784
8/8/2024,72.44,6308,4586
8/7/2024,71.79,6304,4391
8/6/2024,70.94,6230,4190
8/5/2024,71.25,6183,3992
8/2/2024,71.08,6118,3802
8/1/2024,72.8,6041,3616
7/31/2024,73.75,3626,3433
7/30/2024,72.46,3624,3408
7/29/2024,72.86,3505,3383
7/26/2024,73.28,3505,3366
7/25/2024,73.8,3505,3347
7/24/2024,73.47,3504,3329
7/23/2024,72.89,3504,3312
7/22/2024,73.97,3438,3293
7/19/2024,73.65,3388,3277
7/18/2024,75.14,3388,3478
7/17/2024,75.02,3288,3675
7/16/2024,74.54,3261,3878
7/15/2024,75.2,3331,4084
7/12/2024,75.41,3328,4284
7/11/2024,75.47,3303,4485
7/10/2024,75.53,3253,4688
7/9/2024,75.55,3251,4893
7/8/2024,76.39,3238,5100
7/5/2024,76.51,3230,5302
7/4/2024,77,3230,5497
7/3/2024,77.05,3254,5691
7/2/2024,76.45,3214,5882
7/1/2024,76.46,3199,6076
6/28/2024,75.8,6406,6263
6/27/2024,76.03,6339,6228
6/26/2024,76.02,6339,6190
6/25/2024,75.68,6342,6151
6/24/2024,76.02,6341,6105
6/21/2024,75.31,6339,6057
6/20/2024,75.77,6338,8185
6/19/2024,75.44,6342,10309
6/18/2024,75.49,6342,12429
6/17/2024,74.61,6280,14510
6/14/2024,74.55,6157,16614
6/13/2024,74.88,6135,18726
6/12/2024,74.89,6122,20844
6/11/2024,74.66,6112,22949
6/10/2024,74.24,6017,25027
6/7/2024,73.15,5878,27110
6/6/2024,72.82,5765,29191
6/5/2024,71.95,5752,31284
6/4/2024,71.9,5654,33388
6/3/2024,73.08,5621,35501
5/31/2024,74.81,38262,37607
5/30/2024,74.56,38201,37518
5/29/2024,75.36,38136,37435
5/28/2024,75.62,37563,37357
5/27/2024,75.12,37833,37313
5/24/2024,74.37,37844,37227
5/23/2024,74.12,37893,37144
5/22/2024,74.43,37699,37040
5/21/2024,75.33,37289,36956
5/20/2024,75.63,37255,34802
5/17/2024,75.42,37100,32645
5/16/2024,74.93,37158,30497
5/15/2024,74.56,37316,28344
5/14/2024,74.37,37349,26176
5/13/2024,74.51,37200,24005
5/10/2024,74.16,36927,21843
5/9/2024,74.69,36967,19675
5/8/2024,74.49,36966,17472
5/7/2024,74.71,36904,15266
5/6/2024,74.99,36538,13036
5/3/2024,74.61,36594,10758
5/2/2024,74.5,36344,8446
5/1/2024,73.99,36439,6136
4/30/2024,76.12,4973,3822
4/29/2024,76.54,4900,3604
4/26/2024,77.03,4874,3388
4/25/2024,76.76,4872,3176
4/24/2024,76.5,4794,2965
4/23/2024,76.3,4780,2758
4/22/2024,75.7,4769,2552
4/19/2024,75.91,4417,2339
4/18/2024,76.16,3915,2169
4/17/2024,76.34,3877,2032
4/16/2024,77.72,3448,1897
4/15/2024,77.45,2370,1790
4/12/2024,77.24,1916,1755
4/11/2024,76.68,1699,1749
4/10/2024,76.57,1722,1754
4/9/2024,76.14,1714,1757
4/8/2024,76.62,1652,1755
4/5/2024,76.8,1702,1754
4/4/2024,76.82,1702,1748
4/3/2024,76.44,1691,1722
4/2/2024,76.01,1682,1695
4/1/2024,75.69,1581,1669
3/28/2024,75.96,1860,1650
3/27/2024,75.36,1860,1613
3/26/2024,75.37,1860,1576
3/25/2024,75.51,1845,1539
3/22/2024,74.85,1836,1508
3/21/2024,75.23,1836,1474
3/20/2024,75.29,1771,1685
3/19/2024,75.72,1759,1900
3/18/2024,75.49,1685,2109
3/15/2024,75.06,1642,2324
3/14/2024,74.71,1613,2540
3/13/2024,74.26,1306,2755
3/12/2024,73.23,1292,2990
3/11/2024,73.43,1291,3226
3/8/2024,72.93,1301,3462
3/7/2024,73.37,1304,3694
3/6/2024,73.14,1304,3926
3/5/2024,73,1299,4158
3/4/2024,73.57,1379,4390
3/1/2024,73.29,1322,4617
2/29/2024,73.13,5002,4847
2/28/2024,73.33,5000,4832
2/27/2024,73.62,4900,4815
2/26/2024,73.23,4902,4796
2/23/2024,72.88,4888,4776
2/22/2024,73.67,4838,4749
2/21/2024,73.38,4834,4725
2/20/2024,73.2,4831,4718
2/19/2024,74.2,4829,4713
2/16/2024,74.16,4781,4707
2/15/2024,73.93,4787,4705
2/14/2024,73.49,4777,4701
2/13/2024,74.02,4782,4697
2/12/2024,73.89,4782,4689
2/9/2024,73.78,4769,4678
2/8/2024,73.29,4778,4668
2/7/2024,72.24,4753,4657
2/6/2024,71.87,4603,4646
2/5/2024,71.84,4603,4639
2/2/2024,71.22,4495,4632
2/1/2024,71.95,4467,4632
1/31/2024,73.52,4737,4631
1/30/2024,74.71,4746,4604
1/29/2024,74.11,4752,4591
1/26/2024,74.96,4740,4577
1/25/2024,74.31,4738,4563
1/24/2024,73.29,4714,4549
1/23/2024,73.03,4663,4537
1/22/2024,73.23,4617,4527
1/19/2024,72.04,4617,4521
1/18/2024,72.56,4614,4765
1/17/2024,71.94,4580,4976
1/16/2024,72.15,4500,5190
1/15/2024,72.34,4496,5401
1/12/2024,72.57,4496,5611
1/11/2024,71.74,4459,5820
1/10/2024,71.22,4335,6036
1/9/2024,71.64,4543,6260
1/8/2024,71.09,4539,6463
1/5/2024,72.54,4539,6665
1/4/2024,72,4527,6868
1/3/2024,72.72,4524,7071
1/2/2024,71.24,4523,7274
12/29/2023,71.59,4523,7475
12/28/2023,72.01,8274,7677
12/27/2023,73.47,7777,7626
12/26/2023,73.92,7791,7608
12/22/2023,72.97,7665,7588
12/21/2023,73.66,7654,7573
12/20/2023,74.22,7629,12760
12/19/2023,74.46,7704,18100
12/18/2023,73.84,7695,23470
12/15/2023,73.24,7576,28894
12/14/2023,73.36,7576,34287
12/13/2023,71.92,7577,39699
12/12/2023,71.04,7577,45085
12/11/2023,72.66,7574,50437
12/8/2023,72.17,7532,55747
12/7/2023,71.2,7547,61110
12/6/2023,71.21,7517,66422
12/5/2023,72.59,7504,71705
12/4/2023,73.31,7488,76991
12/1/2023,73.12,7441,82245
11/30/2023,74.29,85465,87517
11/29/2023,75.77,87721,87556
11/28/2023,74.88,88264,87535
11/27/2023,74.08,89052,87378
11/24/2023,74.45,88463,87058
11/23/2023,74.91,88770,86777
11/22/2023,75.32,88365,86483
11/21/2023,75.88,87859,86192
11/20/2023,75.96,87211,80606
11/17/2023,74.86,87981,75063
11/16/2023,72.78,87225,69445
11/15/2023,75.05,86773,63876
11/14/2023,75.42,86786,58336
11/13/2023,75.69,86293,52792
11/10/2023,74.95,86526,47279
11/9/2023,74.03,86049,41748
11/8/2023,73.59,87408,36246
11/7/2023,74.76,85909,30644
11/6/2023,77.29,84252,25139
11/3/2023,76.64,84251,19740
11/2/2023,77.63,84353,14341
11/1/2023,76.44,83999,8934
10/31/2023,77.03,4071,3550
10/30/2023,77.5,4067,3495
10/27/2023,78.85,3717,3444
10/26/2023,77.94,3688,3414
10/25/2023,78.73,3673,3386
10/24/2023,77.66,3624,3361
10/23/2023,78.08,3597,3325
10/20/2023,78.76,3567,3290
10/19/2023,79.16,3521,3317
10/18/2023,79.36,3371,3286
10/17/2023,78.79,3336,3251
10/16/2023,78.57,3269,3217
10/13/2023,78.69,3269,3178
10/12/2023,76.56,3242,3136
10/11/2023,76.5,3242,3094
10/10/2023,76.4,3242,3052
10/9/2023,75.71,3301,2958
10/6/2023,74.1,3269,2876
10/5/2023,73.96,3269,2795
10/4/2023,75.02,3300,2709
10/3/2023,78.39,3078,2621
10/2/2023,78.38,3078,2548
9/29/2023,78.85,3966,2474
9/28/2023,79.23,3053,2343
9/27/2023,79.59,2856,2269
9/26/2023,79.23,2821,2207
9/25/2023,78.96,2685,2147
9/22/2023,78.73,2636,2096
9/21/2023,79.72,2607,2047
9/20/2023,79.52,2620,2307
9/19/2023,79.64,1830,2552
9/18/2023,79.66,2066,2841
9/15/2023,79.39,2066,3097
9/14/2023,79.74,1977,3354
9/13/2023,79.16,1977,3623
9/12/2023,79.28,1977,3894
9/11/2023,78.95,1977,4163
9/8/2023,78.86,1995,4399
9/7/2023,78.78,1948,4628
9/6/2023,78.7,1930,4860
9/5/2023,78.73,1921,5094
9/4/2023,78.64,1908,5327
9/1/2023,78.11,1908,5560
8/31/2023,77.53,6504,5794
8/30/2023,76.95,6290,5720
8/29/2023,76.94,6167,5656
8/28/2023,76.31,5913,5602
8/25/2023,76.53,5911,5559
8/24/2023,75.99,6015,5517
8/23/2023,76.42,6048,5465
8/22/2023,76.95,6013,5411
8/21/2023,77.08,5507,5359
8/18/2023,77,5436,5067
8/17/2023,76.46,5435,4781
8/16/2023,76.08,5430,4495
8/15/2023,76.36,5417,4209
8/14/2023,77.04,5413,3923
8/11/2023,77.31,5404,3639
8/10/2023,77.37,5404,3353
8/9/2023,77.97,5327,3067
8/8/2023,77.5,5350,2785
8/7/2023,76.97,5281,2502
8/4/2023,77.08,5275,2225
8/3/2023,76.35,5235,1948
8/2/2023,75.08,5235,1673
8/1/2023,76.28,5230,1399
7/31/2023,76.88,1139,1124
7/28/2023,76.35,1140,1120
7/27/2023,75.85,1140,1114
7/26/2023,75.21,1140,1109
7/25/2023,75.42,1139,1103
7/24/2023,75.17,1141,1097
7/21/2023,74.32,1115,1091
7/20/2023,73.68,1115,1131
7/19/2023,73.65,1106,1171
7/18/2023,73.31,1106,1211
7/17/2023,72.52,1117,1252
7/14/2023,72.79,1117,1289
7/13/2023,73.69,1117,1327
7/12/2023,72.95,1117,1364
7/11/2023,72.55,1114,1401
7/10/2023,71.54,1076,1434
7/7/2023,71.39,1057,1470
7/6/2023,70.6,1053,1507
7/5/2023,71.05,1053,1544
7/4/2023,70.93,1049,1580
7/3/2023,69.58,1049,1616
6/30/2023,70.86,1715,1651
6/29/2023,70.36,1715,1640
6/28/2023,70.44,1715,1629
6/27/2023,69.65,1717,1618
6/26/2023,69.96,1678,1606
6/23/2023,69.64,1678,1597
6/22/2023,69.92,1669,1586
6/21/2023,71.56,1671,1574
6/20/2023,70.7,1614,3555
6/19/2023,70.7,1614,5518
6/16/2023,71.23,1614,7489
6/15/2023,70.57,1609,9461
6/14/2023,68.69,1587,11424
6/13/2023,69.53,1591,13387
6/12/2023,67.66,1582,15358
6/9/2023,69.34,1548,17384
6/8/2023,69.57,1548,19405
6/7/2023,70.43,1548,21432
6/6/2023,69.89,1544,23448
6/5/2023,70.22,1544,25444
6/2/2023,70.41,1501,27407
6/1/2023,69.32,1497,29342
5/31/2023,68.31,31378,31223
5/30/2023,69.07,31069,31106
5/29/2023,71.4,31176,30989
5/26/2023,71.17,31188,30867
5/25/2023,70.32,31053,30740
5/24/2023,71.89,31044,30610
5/23/2023,70.89,31144,30441
5/22/2023,70.25,31975,30152
5/19/2023,70.2,31868,29792
5/18/2023,71.15,31946,27803
5/17/2023,71.52,31790,25808
5/16/2023,69.96,31485,23824
5/15/2023,70.12,30996,21854
5/12/2023,69.33,30526,19916
5/11/2023,69.92,29711,18009
5/10/2023,71.17,29614,16156
5/9/2023,71.61,29325,14308
5/8/2023,71.06,29337,12481
5/5/2023,69.75,29284,10652
5/4/2023,68.01,29098,8827
5/3/2023,68.55,28509,7015
5/2/2023,70.2,26809,5242
5/1/2023,72.17,26588,3582
4/28/2023,73.24,2027,1912
4/27/2023,71.74,2027,1880
4/26/2023,71.95,2027,1847
4/25/2023,73.09,1927,1788
4/24/2023,74.74,1927,1735
4/21/2023,74.04,1927,1653
4/20/2023,73.03,1907,1564
4/19/2023,74.19,1907,1477
4/18/2023,75.14,1907,1389
4/17/2023,74.89,1907,1301
4/14/2023,75.5,1907,1211
4/13/2023,75.31,1915,1121
4/12/2023,75.52,1915,1030
4/11/2023,74.49,1915,938
4/10/2023,73.73,1540,845
4/6/2023,74.16,1540,776
4/5/2023,74.27,1540,707
4/4/2023,74.07,1133,638
4/3/2023,74.16,1133,597
3/31/2023,73.07,698,555
3/30/2023,72.46,598,543
3/29/2023,72.09,598,537
3/28/2023,72.47,586,531
3/27/2023,72.39,586,526
3/24/2023,70.35,561,521
3/23/2023,70.71,561,518
3/22/2023,70.98,545,515
3/21/2023,70.35,542,512
3/20/2023,69.92,509,751
3/17/2023,69.28,510,992
3/16/2023,69.72,507,1232
3/15/2023,68.95,507,1469
3/14/2023,70.89,511,1705
3/13/2023,72.66,511,1938
3/10/2023,73.62,511,2172
3/9/2023,73.18,511,2405
3/8/2023,73.88,511,2639
3/7/2023,74.21,511,2870
3/6/2023,76.03,511,3099
3/3/2023,75.73,511,3327
3/2/2023,74.72,511,3509
3/1/2023,74.38,511,3689
2/28/2023,74.11,4122,3866
2/27/2023,73.87,4120,3802
2/24/2023,74.73,4112,3736
2/23/2023,74.63,4069,3673
2/22/2023,74.07,4037,3612
2/21/2023,74.95,4014,3548
2/20/2023,75.7,4013,3473
2/17/2023,74.72,4013,3355
2/16/2023,76.06,4013,3237
2/15/2023,76.05,3978,3119
2/14/2023,76,3954,3004
2/13/2023,76.26,3924,2890
2/10/2023,75.79,3249,2778
2/9/2023,74.75,3210,2711
2/8/2023,75.29,3165,2646
2/7/2023,74.48,3153,2581
2/6/2023,73.15,3139,2508
2/3/2023,72.44,3162,2436
2/2/2023,74.3,3162,2360
2/1/2023,74.4,3069,2284
1/31/2023,76.3,2898,2211
1/30/2023,75.18,2230,2150
1/27/2023,75.99,2248,2131
1/26/2023,76.95,2251,2110
1/25/2023,76.74,2245,2087
1/24/2023,77.06,2243,2055
1/23/2023,78.3,2241,2024
1/20/2023,77.67,2243,1993
1/19/2023,76.99,2239,1962
1/18/2023,76.31,2198,2016
1/17/2023,76.47,2058,2073
1/16/2023,76.35,2056,2139
1/13/2023,76.9,2019,2205
1/12/2023,76.23,2019,2273
1/11/2023,75.69,1979,2340
1/10/2023,74.37,1979,2407
1/9/2023,74.52,1943,2470
1/6/2023,73.38,1936,2534
1/5/2023,73.1,1902,2600
1/4/2023,72.73,1771,2667
1/3/2023,74.26,1775,2739
1/2/2023,76.29,1775,2810
12/30/2022,76.29,1775,2882
12/29/2022,75.26,3058,2956
12/28/2022,76.28,3052,2941
12/27/2022,76.41,3051,2924
12/23/2022,76.21,3042,2897
12/22/2022,74.1,3031,2857
12/21/2022,74.84,3031,2818
12/20/2022,74.16,2983,7765
12/19/2022,73.65,2919,12720
12/16/2022,73.49,2905,17626
12/15/2022,74.17,2926,22519
12/14/2022,75.64,2918,27382
12/13/2022,74.97,2838,32242
12/12/2022,74.52,2847,37080
12/9/2022,73.48,2847,41959
12/8/2022,73.15,2891,46846
12/7/2022,73.8,2834,51724
12/6/2022,75.24,2803,56511
12/5/2022,77.21,2633,61268
12/2/2022,78.69,2444,66079
12/1/2022,78.67,2455,70935
11/30/2022,79.12,77238,75761
11/29/2022,77.44,77295,75563
11/28/2022,76.9,76516,75343
11/25/2022,76.39,76301,75153
11/24/2022,77.33,75872,75000
11/23/2022,76.99,75809,74936
11/22/2022,77.63,75412,74815
11/21/2022,77.53,76039,74707
11/18/2022,76.85,76153,69866
11/17/2022,77.17,76058,65017
11/16/2022,78.04,74630,60170
11/15/2022,79.37,74158,55419
11/14/2022,78.04,74801,50700
11/11/2022,78.73,75282,45938
11/10/2022,77.14,74847,41146
11/9/2022,77.22,74277,36382
11/8/2022,78.97,73996,31599
11/7/2022,80.27,73660,26834
11/4/2022,80.42,74013,22092
11/3/2022,78.36,74901,17326
11/2/2022,79.29,74005,12501
11/1/2022,77.9,73782,7737
10/31/2022,77.75,3425,2987
10/28/2022,77.81,3420,2922
10/27/2022,78.8,3348,2836
10/26/2022,78.1,3368,2753
10/25/2022,76.98,3378,2656
10/24/2022,75.95,3373,2548
10/21/2022,76.14,3390,2440
10/20/2022,76.19,3394,2301
